	      1970	   0.98283	[mu,kappa]: [(13.22283,97.15932),100.25630]
	        10	   0.01368	[mu,kappa]: [(135.54487,317.48295),226.95464]
	        20	   0.00345	[mu,kappa]: [(34.76461,275.43172),243.58708]
	         0	   0.00003	[mu,kappa]: [(62.54623,130.80350),34.00799]
	         0	   0.00001	[mu,kappa]: [(108.11096,165.09466),85.05296]
	         0	   0.00000	[mu,kappa]: [(89.34606,72.45001),263.97354]
	         0	   0.00000	[mu,kappa]: [(19.01011,112.36052),91.77498]
	         0	   0.00000	[mu,kappa]: [(26.22158,198.40044),273.53184]
	         0	   0.00000	[mu,kappa]: [(65.03973,18.89051),6.04644]
	         0	   0.00000	[mu,kappa]: [(176.22494,138.64562),203.71974]
