	  7949.188	     0.038	[mu,kappa]: [(56.333,297.344),11.565]
	 16497.420	     0.078	[mu,kappa]: [(107.434,293.367),10.826]
	 21079.857	     0.100	[mu,kappa]: [(31.647,89.019),252.097]
	  6183.403	     0.029	[mu,kappa]: [(18.968,91.576),158.749]
	 11679.038	     0.055	[mu,kappa]: [(76.120,63.979),7.458]
	 41265.059	     0.195	[mu,kappa]: [(43.319,86.520),270.025]
	 25543.405	     0.121	[mu,kappa]: [(155.285,310.399),11.155]
	 50205.842	     0.237	[mu,kappa]: [(38.334,88.722),13.929]
	 17092.226	     0.081	[mu,kappa]: [(50.201,80.714),94.298]
	 13936.563	     0.066	[mu,kappa]: [(22.363,344.124),11.225]
