0	2.80484e+06
1	2.77256e+06
2	2.74105e+06
3	2.73369e+06
4	2.73149e+06
5	2.73005e+06
6	2.72865e+06
7	2.72694e+06
8	2.7247e+06
9	2.72183e+06
10	2.71856e+06
11	2.71524e+06
12	2.71195e+06
13	2.70868e+06
14	2.70541e+06
15	2.70213e+06
16	2.69896e+06
17	2.69599e+06
18	2.69317e+06
19	2.69063e+06
20	2.68869e+06
21	2.68744e+06
22	2.68667e+06
23	2.68614e+06
24	2.68572e+06
25	2.68535e+06
26	2.685e+06
27	2.68466e+06
28	2.68432e+06
29	2.68396e+06
30	2.68359e+06
31	2.6832e+06
32	2.68279e+06
33	2.6824e+06
34	2.68207e+06
35	2.68182e+06
