	 594.36528	   0.00237	[mu,kappa]: [(142.89929,338.19733),22.27986]
	2607.76852	   0.01038	[mu,kappa]: [(50.19707,21.08409),60.42609]
	 621.33331	   0.00247	[mu,kappa]: [(142.94520,340.61655),22.51418]
	 733.65388	   0.00292	[mu,kappa]: [(123.96866,20.56916),65.10483]
	6227.56064	   0.02477	[mu,kappa]: [(79.54112,321.40791),134.59282]
	13382.12811	   0.05324	[mu,kappa]: [(90.95078,314.88055),101.38129]
	1904.76091	   0.00758	[mu,kappa]: [(119.48825,296.57659),34.18585]
	4699.59767	   0.01870	[mu,kappa]: [(49.71521,80.75390),136.67468]
	1495.29064	   0.00595	[mu,kappa]: [(89.82661,65.90586),30.84147]
	2344.17986	   0.00933	[mu,kappa]: [(146.95624,41.47961),68.86690]
	3227.23952	   0.01284	[mu,kappa]: [(63.57318,37.34935),63.53272]
	2605.42651	   0.01037	[mu,kappa]: [(69.39877,64.66666),27.83094]
	1701.21266	   0.00677	[mu,kappa]: [(94.96759,37.53660),138.28341]
	6997.51229	   0.02784	[mu,kappa]: [(155.37557,343.72886),79.86965]
	2104.55659	   0.00837	[mu,kappa]: [(52.90285,344.45552),52.97549]
	1594.81395	   0.00635	[mu,kappa]: [(76.04698,85.71314),201.46944]
	9271.17914	   0.03688	[mu,kappa]: [(131.26358,305.70809),44.99908]
	 779.26269	   0.00310	[mu,kappa]: [(27.94021,277.03068),129.27854]
	3040.03369	   0.01210	[mu,kappa]: [(115.07924,294.49493),50.92052]
	7428.61339	   0.02955	[mu,kappa]: [(34.28158,87.31813),278.00000]
	2943.95176	   0.01171	[mu,kappa]: [(155.58051,19.68373),121.82237]
	 782.56048	   0.00311	[mu,kappa]: [(37.83588,315.31927),14.40943]
	4329.32185	   0.01722	[mu,kappa]: [(84.28528,279.16274),95.11358]
	1747.29978	   0.00695	[mu,kappa]: [(7.31832,61.43646),62.53899]
	1093.28840	   0.00435	[mu,kappa]: [(107.81728,56.09803),41.33923]
	9254.08760	   0.03681	[mu,kappa]: [(145.04762,318.74632),71.52529]
	 844.60492	   0.00336	[mu,kappa]: [(136.21798,314.94643),27.37504]
	 865.43437	   0.00344	[mu,kappa]: [(142.36362,347.70085),24.19481]
	1029.17110	   0.00410	[mu,kappa]: [(107.55805,31.56854),125.66749]
	 706.41206	   0.00281	[mu,kappa]: [(38.76958,314.98783),14.63986]
	33023.09959	   0.13137	[mu,kappa]: [(102.56716,305.26144),48.74876]
	1006.01182	   0.00400	[mu,kappa]: [(118.63427,85.10483),99.44807]
	 638.02866	   0.00254	[mu,kappa]: [(143.65599,356.55078),23.24229]
	1705.04041	   0.00678	[mu,kappa]: [(88.70004,86.86559),155.28820]
	1646.10529	   0.00655	[mu,kappa]: [(17.06298,94.98098),278.00000]
	7639.73789	   0.03039	[mu,kappa]: [(70.30098,294.35193),20.89886]
	1410.69585	   0.00561	[mu,kappa]: [(108.80951,288.90111),50.46589]
	4470.87013	   0.01779	[mu,kappa]: [(63.09158,80.56530),83.03666]
	2744.65383	   0.01092	[mu,kappa]: [(97.08561,274.94705),145.04107]
	2972.32373	   0.01183	[mu,kappa]: [(132.06534,59.37913),28.39728]
	4238.41931	   0.01686	[mu,kappa]: [(117.46847,307.14150),33.30802]
	 857.74845	   0.00341	[mu,kappa]: [(45.71111,306.38361),15.85123]
	1588.61006	   0.00632	[mu,kappa]: [(103.98341,87.52721),145.47831]
	1073.48976	   0.00427	[mu,kappa]: [(135.95546,305.04993),55.78063]
	4184.54406	   0.01665	[mu,kappa]: [(25.68255,89.16349),278.00000]
	4431.60795	   0.01763	[mu,kappa]: [(37.52465,358.57232),29.17917]
	 694.37842	   0.00276	[mu,kappa]: [(138.28888,318.98020),24.39468]
	1347.68847	   0.00536	[mu,kappa]: [(135.53649,314.21606),30.93696]
	4547.97480	   0.01809	[mu,kappa]: [(162.95296,279.42135),127.69443]
	2140.72996	   0.00852	[mu,kappa]: [(177.71070,333.52301),138.47641]
	 990.63556	   0.00394	[mu,kappa]: [(136.83500,316.60023),27.51730]
	 479.04623	   0.00191	[mu,kappa]: [(145.28350,2.93860),21.02145]
	 896.59983	   0.00357	[mu,kappa]: [(142.11552,350.11277),24.79068]
	2239.02007	   0.00891	[mu,kappa]: [(26.89748,348.69486),26.46990]
	2608.63797	   0.01038	[mu,kappa]: [(67.91976,329.32699),108.27143]
	11144.11368	   0.04433	[mu,kappa]: [(41.18869,86.17229),278.00000]
	 124.20218	   0.00050	[mu,kappa]: [(100.32338,12.05863),14.95272]
	   3.07200	   0.00001	[mu,kappa]: [(121.13757,352.12263),0.16664]
	2261.75704	   0.00900	[mu,kappa]: [(109.60686,273.15463),186.46938]
	 855.40692	   0.00340	[mu,kappa]: [(14.44495,290.64018),116.13203]
	2385.62688	   0.00949	[mu,kappa]: [(133.06359,309.03908),43.72741]
	3982.41884	   0.01584	[mu,kappa]: [(36.86018,58.79886),25.65084]
	2965.67837	   0.01180	[mu,kappa]: [(115.73209,299.54898),30.74224]
	1388.96923	   0.00553	[mu,kappa]: [(142.79640,82.72661),140.89597]
	 403.30018	   0.00161	[mu,kappa]: [(148.24077,23.40932),17.75540]
	1345.55420	   0.00535	[mu,kappa]: [(48.16961,294.43057),19.75585]
	1979.42078	   0.00788	[mu,kappa]: [(89.27199,302.42721),20.50565]
	3156.49613	   0.01256	[mu,kappa]: [(80.77970,41.17961),87.38432]
	4431.96559	   0.01763	[mu,kappa]: [(118.17093,306.68146),32.56121]
	2523.89555	   0.01004	[mu,kappa]: [(53.30496,308.65780),63.84017]
	3658.98336	   0.01456	[mu,kappa]: [(136.42091,272.42674),155.70992]
	3356.55654	   0.01335	[mu,kappa]: [(148.91986,273.10827),167.85017]
	1601.84395	   0.00637	[mu,kappa]: [(164.05318,78.97310),92.02026]
	4566.54160	   0.01817	[mu,kappa]: [(123.24161,311.32449),41.33252]
	5175.28296	   0.02059	[mu,kappa]: [(113.58271,303.49272),31.50604]
	 838.64824	   0.00334	[mu,kappa]: [(139.25711,321.91190),24.96141]
	2723.57708	   0.01084	[mu,kappa]: [(122.53489,272.66749),167.96840]
	 454.70887	   0.00181	[mu,kappa]: [(143.98553,3.58032),22.53598]
	   3.07198	   0.00001	[mu,kappa]: [(121.13756,352.12263),0.16664]
	3482.58818	   0.01386	[mu,kappa]: [(38.86286,322.43218),56.90565]
