	  4257.114	     0.020	[mu,kappa]: [(39.061,86.769),241.342]
	  1783.030	     0.008	[mu,kappa]: [(103.024,273.860),131.498]
	  1336.104	     0.006	[mu,kappa]: [(111.276,307.882),51.797]
	  1031.013	     0.005	[mu,kappa]: [(113.964,299.316),27.625]
	   884.834	     0.004	[mu,kappa]: [(45.552,19.429),61.556]
	   453.779	     0.002	[mu,kappa]: [(86.108,60.926),35.668]
	  1265.934	     0.006	[mu,kappa]: [(128.268,48.283),13.844]
	   579.645	     0.003	[mu,kappa]: [(83.377,40.280),97.126]
	  1050.620	     0.005	[mu,kappa]: [(115.190,299.052),26.915]
	  9400.588	     0.044	[mu,kappa]: [(42.514,87.679),1399.339]
	   550.185	     0.003	[mu,kappa]: [(32.932,337.547),26.555]
	  1781.154	     0.008	[mu,kappa]: [(58.015,75.343),215.471]
	   395.478	     0.002	[mu,kappa]: [(42.253,320.207),18.380]
	   264.914	     0.001	[mu,kappa]: [(100.556,36.734),119.863]
	  2879.218	     0.014	[mu,kappa]: [(48.261,83.597),293.344]
	   409.725	     0.002	[mu,kappa]: [(108.216,86.977),100.814]
	   472.939	     0.002	[mu,kappa]: [(23.783,22.027),20.241]
	   669.354	     0.003	[mu,kappa]: [(151.728,80.506),74.630]
	   483.525	     0.002	[mu,kappa]: [(24.895,23.055),20.245]
	   448.678	     0.002	[mu,kappa]: [(78.355,296.352),21.355]
	   914.106	     0.004	[mu,kappa]: [(68.169,83.939),143.876]
	   547.541	     0.003	[mu,kappa]: [(32.679,338.534),27.031]
	  5711.106	     0.027	[mu,kappa]: [(43.169,86.964),575.870]
	  2833.296	     0.013	[mu,kappa]: [(136.167,273.117),123.811]
	 15696.338	     0.074	[mu,kappa]: [(38.080,89.061),941.199]
	  1658.056	     0.008	[mu,kappa]: [(55.832,78.322),84.198]
	  4195.118	     0.020	[mu,kappa]: [(32.279,89.170),250.180]
	   562.632	     0.003	[mu,kappa]: [(32.423,339.851),28.713]
	   884.259	     0.004	[mu,kappa]: [(95.644,297.238),31.518]
	  1172.711	     0.006	[mu,kappa]: [(33.145,276.736),125.012]
	  1673.325	     0.008	[mu,kappa]: [(140.630,330.355),19.836]
	  6873.333	     0.033	[mu,kappa]: [(42.017,86.307),777.221]
	   402.881	     0.002	[mu,kappa]: [(43.178,319.965),18.730]
	   454.838	     0.002	[mu,kappa]: [(27.038,19.578),19.870]
	  7484.239	     0.035	[mu,kappa]: [(44.164,84.674),229.469]
	   402.369	     0.002	[mu,kappa]: [(43.115,320.612),18.880]
	  5722.443	     0.027	[mu,kappa]: [(35.728,90.470),1303.834]
	  4376.744	     0.021	[mu,kappa]: [(39.838,86.732),221.851]
	  4192.336	     0.020	[mu,kappa]: [(36.048,86.841),382.452]
	   551.653	     0.003	[mu,kappa]: [(70.848,323.316),89.253]
	  2259.931	     0.011	[mu,kappa]: [(9.380,85.385),94.462]
	   948.862	     0.004	[mu,kappa]: [(78.286,69.102),105.304]
	  4708.573	     0.022	[mu,kappa]: [(39.503,86.794),230.606]
	   417.035	     0.002	[mu,kappa]: [(37.397,325.605),18.318]
	  3979.928	     0.019	[mu,kappa]: [(30.933,88.177),164.080]
	  2392.692	     0.011	[mu,kappa]: [(48.968,81.997),146.559]
	  2720.346	     0.013	[mu,kappa]: [(48.246,83.366),255.832]
	   479.041	     0.002	[mu,kappa]: [(34.511,333.058),21.521]
	   549.997	     0.003	[mu,kappa]: [(83.116,295.583),22.121]
	   494.452	     0.002	[mu,kappa]: [(80.046,86.845),198.969]
	   989.701	     0.005	[mu,kappa]: [(19.643,281.918),161.839]
