    4        27               0.290               0.283         1000015.792
    8        81               1.715               1.717          953542.472
   12       108               3.493               3.600          936987.070
   16       128               5.571               5.633          934308.448
   20        62               3.467               3.467          932159.134
   24       141              15.520              16.200          927962.762
   28       122              16.538              16.883          923079.467
   32       146              22.628              23.000          922366.122
   36       282              49.198              49.967          921539.459
   40       215              41.696              42.217          921364.366
   44       175              37.224              37.767          921536.697
   48       267              61.941              62.767          921504.123
   52       173              43.507              44.017          920748.590
   56       182              49.285              49.983          921364.671
   60       200              58.102              58.833          921395.002
   64       141              43.778              44.333          921206.489
   68       154              50.765              51.267          920874.459
   72       136              47.472              48.083          921426.291
   76       186              68.768              69.733          919615.311
   80       112              43.619              44.233          921784.376
   84       166              67.821              68.750          920702.798
   88       207              88.337              89.650          920805.816
   92       147              65.939              66.883          921119.586
   96       159              74.304              75.983          921651.678
  100       158              76.807              77.767          920329.670
  104       166              84.035              86.083          921270.952
  108       298             156.989             161.450          920075.428
  112       146              79.845              83.333          920531.606
  116       133              74.999              76.283          920471.474
  120       138              80.545              82.067          920774.382
  124       112              67.683              68.567          921245.517
  128       152              94.814              95.783          920790.896
  132       164             105.268             106.767          920939.032
  136       203             134.220             135.717          920586.960
  140       149             101.648             103.117          921403.206
  144       113              79.364              80.200          922031.781
  148       127              91.635              92.700          921229.763
  152       193             142.847             144.550          921116.831
  156       138             105.349             106.717          921627.815
    5        42               0.573               0.567          977654.573
    9        46               1.121               1.133          945147.566
   13        81               2.842               2.867          937448.538
   17        83               3.856               4.033          934922.393
   21       129               7.619               7.767          927418.168
   25       166              11.841              12.383          926462.321
   29       319              26.033              26.467          922345.396
   33       212              19.623              19.833          922863.611
   37       178              18.420              18.617          922078.095
   41       205              23.413              23.717          921323.932
   45       273              34.068              34.717          921288.717
   49       222              30.100              30.667          920720.410
   53       123              29.844              30.400          921306.410
   57       144              40.024              40.517          920180.747
   61       152              45.269              45.883          921169.684
   65       202              64.150              65.000          920430.149
   69       130              43.754              44.300          921137.833
   73       152              54.093              54.683          921374.336
   77       141              53.120              53.983          921678.970
   81       157              62.251              63.100          921446.138
   85       213              88.469              89.883          920023.770
   89       142              61.638              62.533          920738.263
   93       121              55.137              55.950          920945.002
   97       159              75.509              76.417          920318.821
  101       177              87.407              89.333          920341.728
  105       175              89.787              90.967          920142.638
  109       162              86.522              88.650          921890.813
  113       166              91.963              94.533          920645.837
  117       175             100.246             104.733          921131.433
  121       159              94.058              96.283          921463.983
  125       123              75.289              76.017          921095.946
  129       159             100.390             101.450          921145.699
  133       149              96.748              97.483          921102.201
  137       178             119.109             120.400          920673.301
  141       130              89.719              90.967          921408.694
  145       156             110.660             112.000          920706.804
  149       150             109.246             110.517          922282.583
  153       150             112.224             113.500          921671.451
  157       129              99.261             100.117          921793.966
  161       148             117.044             119.083          921676.775
    2        16               0.093               0.083         1066994.761
    6        46               0.754               0.750          967096.189
   10        50               1.352               1.383          942709.225
   14        77               2.895               2.950          935436.867
   18        96               4.729               4.800          931435.939
   22       182              11.351              11.650          927795.521
   26       173              12.643              13.117          926395.485
   30       273              22.813              23.067          923036.176
   34       376              35.531              36.067          921497.047
   38       240              42.722              43.350          921532.080
   42       195              39.605              39.950          921960.685
   46       205              45.503              46.100          921336.763
   50       221              53.359              54.117          920757.164
   54       145              37.791              38.183          921547.530
   58       196              54.947              55.667          921237.095
   62       161              48.410              49.100          920411.235
   66       174              55.550              56.383          920589.953
   70       147              49.733              50.317          921049.597
   74       212              76.031              76.933          920204.451
   78       221              83.674              84.517          919960.474
   82       142              56.430              57.233          920842.529
   86       172              71.676              72.683          920140.408
   90       156              68.111              69.050          921232.438
   94       170              77.736              79.417          920804.477
   98       156              74.266              76.450          920510.920
  102       147              72.769              75.050          921950.678
  106       144              74.240              76.250          921180.379
  110       137              73.495              75.417          920659.676
  114       114              63.304              66.483          920762.489
  118       135              77.350              79.467          920977.527
  122       144              85.374              86.283          920575.802
  126       142              87.097              87.833          920820.857
  130       137              86.600              87.883          920929.904
  134       126              81.974              83.067          921304.654
  138       160             107.305             108.383          921220.486
  142       160             110.641             111.800          921473.687
  146       136              96.596              97.617          921756.431
  150       114              83.165              84.367          921489.442
  154       145             108.712             110.317          921505.508
  158       124              95.546              97.033          921597.004
    3        16               0.139               0.133         1017495.365
    7       110               3.210               3.300          956555.111
   11        94               4.771               4.867          938925.727
   15       139               9.700               9.867          932832.416
   19       132              11.909              12.333          930864.763
   23       341              38.254              38.767          925548.080
   27       265              34.888              35.383          924237.435
   31       109              16.466              16.683          926597.637
   35       140              23.897              24.083          922440.884
   39       179              34.049              34.600          921625.416
   43       217              45.453              45.850          920524.355
   47       247              56.537              57.233          921455.844
   51       181              44.929              45.350          921840.847
   55       212              56.728              57.283          920663.496
   59       176              50.551              51.200          921222.857
   63       138              42.453              42.850          921474.735
   67       227              74.201              75.117          919596.220
   71       148              51.201              51.667          920778.406
   75       163              59.686              60.317          920535.374
   79       148              57.222              57.767          921611.723
   83       196              79.462              80.417          920160.358
   87       179              76.049              76.917          920613.239
   91       150              66.530              68.383          920309.479
   95       142              65.753              66.200          920348.569
   99       187              90.200              92.567          920540.889
  103       225             112.786             114.983          921314.935
  107       138              72.054              74.733          922121.959
  111       131              71.097              74.083          920583.636
  115       244             136.767             138.800          920011.693
  119       136              78.937              79.933          921234.743
  123       155              93.210              94.200          921064.066
  127       119              73.986              74.667          921142.571
  131       136              87.092              87.983          921239.947
  135       117              77.064              77.933          921221.689
  139       163             110.713             111.717          921019.901
  143       141              98.812              99.750          921327.108
  147       177             127.311             128.600          921146.443
  151       124              91.533              92.550          921730.495
  155       114              86.756              87.833          921667.203
