0	6.44156e+06
1	6.44144e+06
2	6.44108e+06
3	6.43999e+06
4	6.43679e+06
5	6.42782e+06
6	6.40595e+06
7	6.36764e+06
8	6.33152e+06
9	6.31364e+06
10	6.30338e+06
11	6.29389e+06
12	6.28441e+06
13	6.27427e+06
14	6.26237e+06
15	6.24807e+06
16	6.23294e+06
17	6.22135e+06
18	6.21451e+06
19	6.21064e+06
20	6.20815e+06
21	6.20607e+06
22	6.20394e+06
23	6.20147e+06
24	6.1987e+06
25	6.19602e+06
26	6.19394e+06
27	6.19259e+06
28	6.1917e+06
29	6.191e+06
30	6.19037e+06
31	6.18975e+06
32	6.1891e+06
33	6.18843e+06
34	6.1877e+06
35	6.18693e+06
36	6.1861e+06
37	6.18521e+06
38	6.18427e+06
39	6.18329e+06
40	6.18233e+06
41	6.18144e+06
42	6.18067e+06
43	6.18003e+06
44	6.1795e+06
