0	1.5863e+06
1	1.57937e+06
2	1.52119e+06
3	1.2496e+06
4	1.03915e+06
5	1.0109e+06
6	1.00386e+06
7	1.00049e+06
8	997051
9	992596
10	986831
11	979874
12	971633
13	963463
14	957701
15	954531
16	952372
17	950439
18	948538
19	946689
20	944914
21	943204
22	941579
23	940136
24	938985
25	938341
26	938026
27	937845
28	937723
29	937630
30	937552
31	937485
32	937424
33	937367
34	937315
35	937266
36	937219
37	937174
38	937131
39	937090
40	937050
41	937011
42	936974
43	936937
44	936901
45	936865
46	936830
47	936795
48	936760
49	936725
50	936689
51	936653
52	936615
53	936575
54	936534
55	936491
56	936444
57	936394
58	936340
59	936279
60	936212
61	936137
62	936051
63	935952
64	935838
65	935708
66	935562
67	935404
68	935237
69	935065
70	934888
71	934704
72	934511
73	934308
74	934095
75	933874
76	933651
77	933432
78	933224
79	933029
80	932846
81	932672
82	932503
83	932336
84	932173
85	932017
86	931871
87	931740
88	931626
89	931528
90	931444
91	931374
92	931314
93	931261
94	931215
95	931174
96	931136
97	931101
98	931068
99	931037
100	931006
101	930976
102	930947
103	930917
104	930887
105	930857
106	930825
107	930792
108	930758
109	930720
110	930679
111	930635
112	930585
113	930530
114	930469
115	930401
116	930326
117	930245
118	930158
119	930068
120	929976
121	929885
122	929797
123	929712
124	929632
125	929558
126	929489
127	929425
128	929365
129	929307
130	929253
131	929200
132	929149
133	929100
134	929051
135	929003
136	928956
137	928909
138	928863
139	928817
140	928772
141	928727
142	928683
143	928639
144	928597
145	928555
146	928514
147	928474
148	928435
149	928398
150	928363
151	928329
152	928296
153	928265
154	928235
155	928207
156	928180
157	928155
158	928131
159	928108
160	928086
161	928065
162	928046
163	928027
164	928009
165	927992
166	927976
167	927961
168	927946
169	927932
170	927918
171	927905
172	927893
173	927881
174	927869
175	927858
176	927847
177	927836
178	927826
179	927816
180	927806
181	927796
